"Site_Code","Point_Type","Tree_Num","Watershed","Latitude","Longitude","X.UTM","Y.UTM","Horz_Prec","Count.medium","Count.small","Unhealthy_Site","Cow_Damage","Site_Notes","Site_Notes.2019","Elevation","Cos.aspect","Slope","Summer.Insolation","Count.adult.dead","Count.adult.damaged","DBH.center","DBH.mean","Basal.area.density","Plot.radius","Soil.type","Canopy_openness","Geologic.Unit","Fraction.Organic","d15N","d13C","fracN","fracC","Genotype","Ploidy_level"
"AHYY","Grid",234,"Oh-be-Joyful Creek-Slate River",38.9094018,-107.02244,324642.492571761,4308667.21306665,1,0,0,0,0,NA,"",2804.53627225658,-0.55359319543508,13.3833447743548,21.677885055542,2,0,29.3335,24.2914545454545,0.0208783504632194,5.7,"Soil",3,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"AMYCG","Random",281,"Middle East River",38.9605262,-106.9851,328003.960811797,4314270.05049237,0.8,4,1,0,0,"NA","",2949.49750603777,-0.893537142486394,12.0342134364744,22.5156784057617,2,0,35.9,19.9,0.0246622,5,"Soil",4,"Tg",0.340891081516321,NA,NA,NA,NA,"AMYCG","Triploid"
"AMYT","Grid",228,"Oh-be-Joyful Creek-Slate River",38.9103333,-107.02279,324614.436217705,4308771.26796624,0.8,0,1,0,0,"NA","",2810.17849414986,-0.638135178278322,10.6609802149003,21.6388416290283,0,0,25.5,25.0272727272727,0.028453,5,"Soil",4,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"APCV","Grid",68,"Middle East River",38.9518226,-106.96423,329791.532833533,4313264.88485877,0.7,3,2,0,0,"NA","",3139.63194226072,-0.970247855772246,17.6743545908166,23.8279037475586,3,0,24.3,21.6,0.0302556689342404,4.2,"Soil",5,"Qm",NA,NA,NA,NA,NA,"APCV_068_18","Triploid"
"APZE","Grid",187,"Coal Creek",38.8633773,-107.05025,322116.187129827,4303613.07952283,0.5,5,6,0,0,"NA","",2993.97616152667,-0.987154305480974,22.2952096627505,24.4976234436035,0,1,31.2,25.0727272727273,0.0218515369146797,5.9,"Scree",3,"Qmy",NA,NA,NA,NA,NA,NA,NA
"AQPIX","Random",387,"Oh-be-Joyful Creek-Slate River",38.934733,-107.04578,322681.687426321,4311523.73606385,0.5,0,0,0,0,NA,"",3013.05798890024,-0.800165468171791,32.2705772207523,24.2623386383057,0,2,26.8,24.1818181818182,0.0269887573964497,5.2,"Soil",4,"Kmu",NA,NA,NA,NA,NA,"AQPIX_387_18","Triploid"
"AQXKL","Random",473,"Oh-be-Joyful Creek-Slate River",38.9312134,-107.04249,322958.120040625,4311126.71725706,0.4,1,1,0,0,"NA","",2951.24985608817,-0.70240620511473,36.9041218827893,23.9707431793213,1,0,17,11.2727272727273,0.0125453287197232,3.4,"Soil",5,"Ql",NA,NA,NA,NA,NA,"AQXKL","Diploid"
"AQZOX","Random",354,"Coal Creek",38.8660194,-107.0511,322049.022303677,4303907.96679409,1.1,2,17,0,0,"NA","",3058.3586412744,-0.637311746353685,19.538380036775,22.4029140472412,0,0,33.7,23.525,0.0106220155709343,6.8,"Talus",2,"Qdu",NA,NA,NA,NA,NA,"AQZOX_354_18","Triploid"
"ASIBO","Random",454,"Middle East River",38.9205694,-106.88923,336219.191991488,4309658.86404716,0.9,0,5,0,0,"NA","",3105.95279511018,0.1253882219073,21.6424852799076,18.2625980377197,5,0,19.6,16.0636363636364,0.0249961285609934,3.7,"Soil",5,"PPm",NA,NA,NA,NA,NA,"ASIBO","Triploid"
"ASMP","Grid",12,"Middle East River",38.9502109,-106.96501,329720.078993095,4313087.46970065,0.8,0,1,0,0,"NA","",3048.72387875898,-0.977676629137262,25.1569343400252,24.5983104705811,2,0,8.5,18.1636363636364,0.0051248273899638,9.01,"Soil",2,"Tg",NA,-0.60910662,-25.48777829,3.17459332191781,48.4329409246575,"ASMP_012_18","Triploid"
"ATDH","Grid",251,"Oh-be-Joyful Creek-Slate River",38.9098411,-107.02206,324676.524918782,4308715.23759517,0.9,0,0,0,0,NA,"",2815.85338618617,-0.539354773568763,12.3006470345581,21.5402336120605,1,1,23.4,23.3727272727273,0.0178586900316001,5.9,"Soil",4,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"ATQY","Grid",97,"Washington Gulch-Slate River",38.9220387,-106.99541,327017.051818183,4310018.06559348,0.7,0,1,0,0,"NA","",3006.0297549665,-0.674506481985377,17.1607785014163,22.3499622344971,0,1,41.9,17.8818181818182,0.0206328559027778,4.8,"Soil",3,"Qt",0.0916396001181086,NA,NA,NA,NA,"AHUK_131_18","Triploid"
"AWUSD","Random",479,"Oh-be-Joyful Creek-Slate River",38.9545093,-107.06803,320802.806420235,4313762.14708822,0.5,5,5,0,0,"NA","",2944.86911932238,-0.97198127447618,29.2823099053637,24.9854278564453,0,0,11.2,9.79,0.00405671057315771,5.3,"Talus",3,"Qt",NA,NA,NA,NA,NA,"AWUSD","Diploid"
"AZIHK","Random",424,"Washington Gulch-Slate River",38.9190993,-106.98123,328239.336941908,4309665.02596665,0.9,0,1,0,0,"NA","",3112.9680325817,-0.184878999461867,27.7147836375769,19.8164939880371,3,0,26.1,20.9,0.0144149095087618,5.9,"Talus",4,"Qlf",NA,NA,NA,NA,NA,"AZIHK","Triploid"
"AZLSF","Random",347,"Coal Creek",38.8652149,-107.05029,322117.297626967,4303817.10122024,1.1,0,3,0,0,NA,"",3021.92826525028,-0.987428692243841,19.6627092289701,24.2995471954346,2,2,25.45,16.0833333333333,0.0734213988919668,1.9,"Soil",5,"Qdu",NA,NA,NA,NA,NA,"AZLSF_347_18","Triploid"
"BCNTS01","Random",501,"Middle East River",38.8840642,-106.91052,334288.507825069,4305645.89601601,0.9,4,13,0,1,"Brush Creek near to stream","",2759.94594983928,0.19270361809552,19.6129290595529,18.7289505004883,0,1,25.4,11.9272727272727,0.0213419651056015,3.3,"Soil",5,"Ql",0.177424371228929,NA,NA,NA,NA,"BCNTS01","Triploid"
"BCOE","Grid",268,"Oh-be-Joyful Creek-Slate River",38.9100639,-107.02141,324733.436571028,4308738.71514364,1.2,0,2,0,0,"NA","",2829.30418552312,-0.65301870010231,16.4522870828427,22.4459037780762,2,0,37.2,28.2181818181818,0.051260248783126,4.3,"Soil",5,"Ql",NA,NA,NA,NA,NA,"AHQT_229_18","Triploid"
"BCSFE01","Random",502,"Middle East River",38.8780717,-106.91135,334202.579489076,4304982.34410901,1.1,2,0,0,1,"Brush creek small forest extension","",2805.69885284394,0.173338871458378,17.7661634874249,18.4850978851318,1,0,23.7,16.1,0.05079504,2.5,"Soil",5,"Qd",NA,NA,NA,NA,NA,"BCSFE01","Triploid"
"BDGAP","Random",445,"Oh-be-Joyful Creek-Slate River",38.9119603,-107.0161,325198.534923004,4308938.99116289,1.1,0,0,0,0,"NA","",2917.82820337454,-0.99996931107816,18.2956549904125,23.3517112731934,0,0,25.4,23.8090909090909,0.0223712709149163,5.3,"Soil",4,"Ql",NA,NA,NA,NA,NA,"BDGAP_445_18","Triploid"
"BDRF","Grid",99,"Washington Gulch-Slate River",38.922008,-106.99601,326964.958482077,4310015.7972007,0.7,1,20,0,0,"NA","",2991.94962321166,-0.627371518570194,22.3516983105416,22.5757637023926,1,2,24.2,17.7,0.04080595703125,3.2,"Soil",5,"Qt",NA,NA,NA,NA,NA,"ABPZ_076_18","Triploid"
"BFPMS","Random",412,"Washington Gulch-Slate River",38.91926,-106.98403,327996.961374053,4309688.14052439,0.4,2,12,0,0,"NA","",3203.83665248274,-0.756921932050607,20.6826550506049,23.185827255249,1,2,9,10.8545454545455,0.0117572664359862,3.4,"Talus",2,"Tp",NA,NA,NA,NA,NA,"BFPMS","Diploid"
"BJSRA01","Random",487,"Oh-be-Joyful Creek-Slate River",38.9137555,-107.03712,323380.331310211,4309178.74203642,0.7,0,3,0,0,"Be joyful slate river A. coordinates updated based on Lake data.","",2766.62983779076,0.473563143420312,19.2822280841445,17.0625038146973,2,0,23.1,16.15,0.0085497999384426,5.7,"Talus",3,"Kmu",NA,NA,NA,NA,NA,"BJSRA01","Triploid"
"BJSRB01","Random",488,"Oh-be-Joyful Creek-Slate River",38.913339,-107.03855,323255.304685255,4309135.2883889,0.5,3,7,0,0,"Be joyful slate river B. coordinates updated with data from Lake.","",2800.15103019093,0.368448672652026,14.2460057022163,18.1742172241211,2,0,12.4,13.1272727272727,0.00831152263374486,5.4,"Talus",2,"Kmu",NA,NA,NA,NA,NA,"BJSRB01","Diploid"
"BJSRC01","Random",489,"Oh-be-Joyful Creek-Slate River",38.9120104,-107.03829,323274.552639293,4308987.33052322,0.6,0,0,0,0,"Be joyful slate river C. Coordinates updated with data from Lake","center tree DBH = 16.5. tag fell off and was replaced.",2819.34677641356,0.999315319882566,7.26829001557331,18.9898891448975,2,0,16.5,12.36,0.0218487244897959,2.8,"Talus",4,"Qm",NA,NA,NA,NA,NA,"BJSRC01","Triploid"
"BLRZ","Grid",135,"Washington Gulch-Slate River",38.9221943,-106.99548,327011.360984728,4310035.46753404,0.8,1,0,0,0,"NA","",3007.89371906395,-0.664649105957726,17.8114374064556,22.3866291046143,1,0,6.2,11.2818181818182,0.00815738842975207,5.5,"Soil",3,"Qt",NA,NA,NA,NA,NA,"AFOG_113_18","Triploid"
"BNXX","Grid",212,"Oh-be-Joyful Creek-Slate River",38.9093783,-107.02338,324560.923917667,4308666.41325168,0.6,0,1,0,0,"NA","",2785.84867640941,-0.491724702424344,25.3732649744832,22.118709564209,0,0,21.7,21.8545454545455,0.0489742883379247,3.3,"Soil",5,"Ql",0.0415416334946006,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"BOZM","Grid",67,"Middle East River",38.9517546,-106.9644,329776.637694277,4313257.65560278,1.8,2,0,0,0,"NA","",3135.81393995273,-0.981716826231625,19.9906226990389,24.3722076416016,1,0,21.7,22.2181818181818,0.0263413988657845,4.6,"Talus",3,"Qm",NA,NA,NA,NA,NA,"APCV_068_18","Triploid"
"BRDPJ","Random",308,"Washington Gulch-Slate River",38.9426091,-107.00286,326421.322670874,4312315.21930591,0.6,2,1,1,1,"Sparse but not unhealthy. unhealthy based on photos","",3106.24389004336,-0.935455519650152,21.9215667921543,24.1768970489502,3,1,25.9,20.7727272727273,0.0211786892361111,4.8,"Talus",2,"Qr",NA,NA,NA,NA,NA,"BRDPJ","Triploid"
"BS","Random",NA,"Middle East River",38.997964,-107.044572,322944,4318539,NA,0,0,0,0,"Mt Baldy summit","",3902.9,-1,0,19.006274,0,0,2,2,0,Inf,"Talus",1,"qm",0,NA,NA,NA,NA,"BS","Diploid"
"BUCDS","Random",328,"Washington Gulch-Slate River",38.9213847,-106.99161,327344.917955463,4309938.27762983,1.1,0,11,0,0,"NA","",3063.77332074659,-0.70538260927859,17.4113365117806,22.4449272155762,0,0,28.7,21.2,0.0186094545454545,5.5,"Soil",4,"Qt",NA,NA,NA,NA,NA,"BUCDS_328_18","Triploid"
"BVNP","Grid",102,"Washington Gulch-Slate River",38.9223874,-106.99634,326937.270287956,4310058.53099533,0.6,1,6,0,0,"NA","",2992.73780165306,-0.624474099452392,23.255786589154,22.6325302124023,3,3,37.6,24.73,0.00934268701583998,9.3,"Soil",3,"Qt",NA,NA,NA,NA,NA,"AHUK_131_18","Triploid"
"BWCM","Grid",79,"Washington Gulch-Slate River",38.9215104,-106.99525,327029.640172072,4309959.12917203,0.7,6,10,0,0,"NA","",2994.49710499597,-0.70191614560605,20.7030973741855,22.830358505249,1,0,19.6,25.5,0.0376419259259259,4.5,"Soil",4,"Qt",NA,NA,NA,NA,NA,"ABPZ_076_18","Triploid"
"BWRE","Grid",206,"Coal Creek",38.8640337,-107.05171,321991.140546668,4303688.77593671,0.4,1,5,0,0,"NA","",3027.38055025625,-0.574264326066349,6.56372794054575,20.956600189209,1,1,14.4,10.3090909090909,0.00199710716633794,7.8,"Talus",2,"Qdu",NA,NA,NA,NA,NA,NA,NA
"BXKLR","Random",316,"Washington Gulch-Slate River",38.9316442,-107.00105,326551.479023703,4311094.84146319,1.2,14,27,0,0,"NA","",3067.73398896275,-0.0916515538957123,28.8967474756193,18.807544708252,0,0,19,16.67,0.00651581644018712,6.7,"Soil",2,"Qu",0.0690134795148194,NA,NA,NA,NA,"BXKLR_316_18","Triploid"
"BYFM","Grid",35,"Middle East River",38.9508818,-106.96423,329789.281630194,4313160.47115002,0.8,0,3,0,0,"NA","",3087.22972546408,-0.985187483803007,25.5706165993224,24.694465637207,0,0,26.5,17.2727272727273,0.00567585185185185,9,"Talus",2,"Tg",NA,-0.23980656,-25.99994456,2.64782907662083,49.365166502947,"ABEY_034_18","Diploid"
"BYUQ","Grid",157,"Coal Creek",38.8626827,-107.05081,322065.863858873,4303537.08185697,0.5,7,12,0,0,"NA","",2969.35366578574,-0.865017519045168,23.273292005677,23.6976013183594,0,0,13.5,20.9636363636364,0.0174725765306122,5.6,"Soil",1,"Qmy",0.0636158465320597,NA,NA,NA,NA,"BYUQ_157_18","Triploid"
"CAJTV","Random",468,"Oh-be-Joyful Creek-Slate River",38.9329554,-107.04005,323173.96448627,4311315.31530063,0.9,0,0,0,0,"NA","",3047.47690662254,-0.938095225938467,15.5061532111563,23.2989368438721,0,1,18.1,12.9272727272727,0.00240165233137166,9.4,"Soil",3,"Ql",NA,NA,NA,NA,NA,"CAJTV_468_18","Diploid"
"CAKME","Random",401,"Oh-be-Joyful Creek-Slate River",38.9358199,-107.05073,322255.32103829,4311654.00936555,0.4,0,0,0,0,"NA","",2884.32625228362,-0.706301490753808,37.3102941283253,22.4107513427734,2,1,18.3,16.2545454545455,0.0386413333333333,3,"Soil",3,"Kmu",NA,NA,NA,NA,NA,"CAKME","Diploid"
"CAVWP","Random",391,"Oh-be-Joyful Creek-Slate River",38.9363986,-107.04862,322439.663256607,4311714.12266797,0.4,0,2,0,0,"very red petioles","",2983.42970111869,-0.708535075683427,20.6753279024392,23.0341396331787,0,2,19.8,17.2818181818182,0.00508314909297052,8.4,"Soil",2,"Kmu",0.0751446190267092,NA,NA,NA,NA,"AQPIX_387_18","Triploid"
"CBBE","Grid",241,"Oh-be-Joyful Creek-Slate River",38.9092043,-107.02224,324659.349172226,4308644.90907149,0.9,0,1,0,0,NA,"",2804.31342997375,-0.902391846276055,14.6324166328418,23.3429870605469,0,1,24.9,19.5,0.0185004164931279,4.9,"Soil",4,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"CBLGE01","Random",442,"Washington Gulch-Slate River",38.867062,-106.94122,331585.34559537,4303815.16365725,0.7,4,0,1,0,"CrestedButte Lake Grant edge. skipping PFZRH due tohomeowner property boundary nearby","",2818.06394948086,-0.967488069918853,8.89064536829566,21.5427494049072,1,1,21.6,12,0.0118185941043084,4.2,"Soil",4,"Qd",NA,NA,NA,NA,NA,"CBLGE01","Triploid"
"CC01","Grid",210,"Coal Creek",38.8642012,-107.05167,321995.029185648,4303707.28769875,1.1,2,2,0,0,"NA","",3029.10521222037,-0.828180074980861,3.50834709950887,20.764232635498,0,0,15.1,14.5636363636364,0.00641330177514793,6.5,"Soil",3,"Qdu",NA,NA,NA,NA,NA,"CC01_210_18","Triploid"
"CCBAH01","Random",366,"Coal Creek",38.8591531,-107.06205,321081.709682871,4303167.326886,0.5,3,12,1,0,"NA","",2989.40723247916,-0.932712236714973,23.1356555853263,24.1002006530762,3,2,14.8,12.3636363636364,0.00626224732461356,5.8,"Scree",1,"Qt",NA,NA,NA,NA,NA,"CCBAH01","Triploid"
"CCRWS01","Random",372,"Coal Creek",38.8679199,-107.06286,321033.411909943,4304141.8888461,0.6,2,1,0,0,NA,"",3283.48926574646,-0.590659484452068,23.5981780679529,21.1099910736084,3,2,31.4,20.1111111111111,0.0520505123966942,2.75,"Talus",3,"Tp",NA,NA,NA,NA,NA,"CCRWS01","Diploid"
"CCTOR01","Random",417,"Coal Creek",38.8580805,-107.06655,320688.525989242,4303057.11632102,0.4,0,0,0,0,"rocky, on ridge","",3069.92541823914,0.265979679424998,15.5088768541775,18.7227821350098,1,1,14.2,13.3909090909091,0.0127464009518144,4.1,"Talus",1,"Tp",NA,NA,NA,NA,NA,"CCTOR01","Diploid"
"CCZV","Grid",252,"Oh-be-Joyful Creek-Slate River",38.909525,-107.02208,324674.012679164,4308680.19398381,0.8,0,0,0,0,NA,"",2809.70101563073,-0.711168768933063,8.62943525197485,21.6242485046387,2,0,26.6,17.7636363636364,0.00836426821118289,6.7,"Soil",4,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"CEIC","Grid",244,"Oh-be-Joyful Creek-Slate River",38.9098671,-107.02224,324660.980565499,4308718.46932491,0.6,0,0,0,0,NA,"",2811.96912908127,-0.425758472559313,12.4850941791882,21.269380569458,0,0,32,26.1636363636364,0.0112435767165046,8.3,"Soil",3,"Ql",0.0746501415849305,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"CFRID","Random",474,"Oh-be-Joyful Creek-Slate River",38.9304733,-107.04176,323019.56160548,4311043.15954492,1.1,0,0,0,0,"NA","",2938.45619377671,-0.810846648333972,37.1863807223048,23.5227165222168,2,0,30.1,21.8818181818182,0.05836435546875,3.2,"Soil",3,"Ql",0.0914310320080379,NA,NA,NA,NA,"CFRID","Diploid"
"CHXQL","Random",333,"Coal Creek",38.876216,-107.03448,323516.31271284,4305007.34603572,0.8,0,12,0,0,"NA","",3149.14637754692,-0.117205297103931,21.6974897590402,19.94215965271,2,2,19.6,18.0571428571429,0.0255265348595213,3.1,"Soil",3,"Kmv",0.108163897203014,NA,NA,NA,NA,"CHXQL","Triploid"
"CJLAV","Random",302,"Middle East River",38.9432036,-106.95583,330498.952708082,4312292.65412254,0.6,0,4,0,0,"NA","",2941.64428531759,-0.776097388277882,14.4367247243254,22.4467086791992,3,1,21.3,16.5727272727273,0.0307501224489796,3.5,"Soil",4,"Qdf",NA,NA,NA,NA,NA,"CJLAV_302_18","Triploid"
"CLON","Grid",129,"Washington Gulch-Slate River",38.9231299,-106.99488,327065.651913304,4310138.16557018,0.6,0,1,0,0,"NA","",3042.90412044252,-0.731442005533938,15.7795740234174,22.4021091461182,0,1,31.9,28.4090909090909,0.0199381836734694,7,"Soil",3,"Qt",NA,NA,NA,NA,NA,"AHUK_131_18","Triploid"
"CLVU","Grid",13,"Middle East River",38.950481,-106.96537,329689.526912331,4313118.11943841,1.1,2,1,0,0,"NA","",3060.44087339813,-0.976010097079003,25.6015716248811,24.9200077056885,1,1,24.4,19.7,0.0235977858855207,4.47,"Soil",3,"Tg",NA,-0.96908994,-23.62912635,2.624605,46.7563,"ACFL_031_18","Triploid"
"CNXB","Grid",160,"Coal Creek",38.8627168,-107.04994,322141.439460526,4303539.17060526,0.8,0,7,0,0,"NA","",2960.08847960719,-0.999395122559063,22.631117842639,24.6715106964111,1,0,29.9,25.9727272727273,0.0183519763313609,6.5,"Soil",2,"Qmy",0.0665807738664229,NA,NA,NA,NA,"CNXB_160_18","Triploid"
"CQMJX","Random",361,"Coal Creek",38.8686154,-107.05416,321790.000683487,4304202.05212535,1.2,0,1,0,0,"Very pretty nice amphithetaher. very white bark tree","",3179.86310786901,-0.998047294068443,20.60721803494,24.1886310577393,3,2,34.2,18.025,0.00568027772565209,7.3,"Scree",1,"Qdu",NA,NA,NA,NA,NA,"CQMJX_361_18","Triploid"
"CVHQZ","Random",314,"Washington Gulch-Slate River",38.9415527,-107.01832,325078.761434982,4312227.54223777,0.7,0,0,0,0,"NA","",3089.81144791306,-0.843518432900586,12.7372101666595,22.5879592895508,5,2,17.8,15.2222222222222,0.0207458218549128,3.3,"Talus",4,"Kmu",NA,NA,NA,NA,NA,"CVHQZ","Diploid"
"CXBS","Grid",24,"Middle East River",38.9507126,-106.96387,329820.075292083,4313141.02008333,1.4,0,3,0,0,"NA","",3081.72621652276,-0.959385121141836,20.4322746725617,24.0038013458252,1,2,8,11.3727272727273,0.00279562241735537,8.8,"Soil",2,"Tg",NA,-0.14547568,-27.04804242,2.89020655412115,50.0718361469712,"ASMP_012_18","Triploid"
"CXPWZ","Random",437,"Oh-be-Joyful Creek-Slate River",38.9137544,-107.0161,325202.937755295,4309138.1076543,0.9,0,11,0,0,"NA","",2955.3082422996,-0.97132310427499,6.95361947043203,21.5456848144531,1,0,20.5,17.4636363636364,0.0127829752066116,5.5,"Soil",4,"Ql",0.344172753255002,NA,NA,NA,NA,"CXPWZ","Triploid"
"CZNV","Grid",188,"Coal Creek",38.863355,-107.04996,322141.29483293,4303610.03939179,0.5,2,3,0,0,"NA","",2988.947804237,-0.994449706425539,22.5297717376664,24.777027130127,0,0,28.2,23.1818181818182,0.01170176,7.5,"Scree",3,"Qmy",NA,NA,NA,NA,NA,"BYUQ_157_18","Triploid"
"CZUE","Grid",196,"Coal Creek",38.8635801,-107.05174,321987.405818609,4303638.4922179,0.6,0,0,0,1,"Lots of cow damage","",3019.45043370446,-0.990957313804766,21.4618454631742,24.4479427337646,3,1,11.9,15.0545454545455,0.0357043995243757,2.9,"Scree",4,"Qdu",NA,NA,NA,NA,NA,"CZUE_196_18","Triploid"
"CZUO","Grid",104,"Washington Gulch-Slate River",38.922395,-106.9957,326992.775132583,4310058.15954664,0.6,8,3,0,0,"NA","",3007.28723701576,-0.654781890394365,17.9035185353021,22.3399028778076,0,0,26.4,16.9090909090909,0.0151094194540561,5.1,"Soil",3,"Qt",NA,NA,NA,NA,NA,"AHUK_131_18","Triploid"
"DAZIP","Random",432,"Washington Gulch-Slate River",38.9169638,-106.97793,328520.309297941,4309421.80784592,0.7,2,0,0,0,"near to a fence","",3014.53762625548,-0.762233779663053,13.2934357226693,22.4477138519287,0,1,19.1,14.6545454545455,0.00703371488033299,6.2,"Talus",4,"Qlf",NA,NA,NA,NA,NA,"DAZIP","Triploid"
"DBUZY","Random",409,"Washington Gulch-Slate River",38.9203977,-106.98782,327671.117155062,4309821.56479972,1,3,19,0,0,"NA","",3104.5497609876,-0.687232270573069,27.024667904653,23.0901145935059,3,0,19.5,18.9181818181818,0.0342310956790123,3.6,"Soil",4,"Tp",0.0824848509831403,NA,NA,NA,NA,"DBUZY_409_18","Triploid"
"DCHZ","Grid",165,"Coal Creek",38.8628889,-107.05113,322038.611465733,4303560.59062539,0.6,6,7,0,0,"NA","",2981.31003805622,-0.997164154262706,24.8167994625991,24.6729183197021,1,1,29.6,14.8272727272727,0.00926219596025914,5.97,"Soil",4,"Qmy",NA,NA,NA,NA,NA,"CZUE_196_18",NA
"DCTAC01","Random",459,"Middle East River",38.9257074,-106.90893,334523.169834543,4310264.67164834,1.3,13,15,1,0,"Deer Creek Trail Aspen Cemetery","",3208.69129654804,-0.795104964001919,17.5304413004202,22.9418315887451,7,1,28.5,19.1818181818182,0.0273179060083284,4.1,"Soil",1,"Qu",NA,NA,NA,NA,NA,"DCTAC01","Triploid"
"DDKJ","Grid",261,"Oh-be-Joyful Creek-Slate River",38.9094279,-107.02159,324716.263339879,4308668.47530008,0.5,3,4,0,0,"NA","",2813.42727413153,-0.877338593677299,14.537860279639,22.8438301086426,2,1,29.1,18.1909090909091,0.0367758487654321,3.6,"Soil",3,"Ql",NA,NA,NA,NA,NA,"DDKJ_261_18","Diploid"
"DEGLR","Random",421,"Washington Gulch-Slate River",38.91999,-106.97826,328498.98485658,4309758.28721961,0.5,0,0,0,0,"NA","",3065.36399710285,-0.849675224051413,10.7911025683499,22.294885635376,1,0,31.7,27.1636363636364,0.00808226604983362,11.1,"Soil",2,"Qlf",0.125126753422342,NA,NA,NA,NA,"DEGLR","Diploid"
